Model,Displ,Cyl,Trans,Drive,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
MITSUBISHI Outlander,2.4,4,SCV-6,4WD,FA,T3B70,Federal Tier 3 Bin 70,KMTXT02.4G5Z,small SUV,5,24,29,26,5,No,341
MITSUBISHI Outlander,3,6,SemiAuto-6,4WD,CA,L3ULEV70,California LEV-III ULEV70,KMTXT03.0G5P,small SUV,5,20,27,22,4,No,402
MITSUBISHI Outlander,3,6,SemiAuto-6,4WD,FA,T3B70,Federal Tier 3 Bin 70,KMTXT03.0G5P,small SUV,5,20,27,22,4,No,402
MITSUBISHI Outlander Sport,2,4,Man-5,2WD,CA,L3ULEV70,California LEV-III ULEV70,KMTXT02.0G5P,small SUV,5,23,29,25,5,No,354
MITSUBISHI Outlander Sport,2,4,Man-5,2WD,FA,T3B70,Federal Tier 3 Bin 70,KMTXT02.0G5P,small SUV,5,23,29,25,5,No,354
MITSUBISHI Outlander Sport,2,4,SCV-6,2WD,CA,L3ULEV70,California LEV-III ULEV70,KMTXT02.4G5P,small SUV,5,24,30,27,6,No,331
MITSUBISHI Outlander Sport,2,4,SCV-6,2WD,FA,T3B70,Federal Tier 3 Bin 70,KMTXT02.4G5P,small SUV,5,24,30,27,6,No,331
MITSUBISHI Outlander Sport,2,4,SCV-6,4WD,CA,L3ULEV70,California LEV-III ULEV70,KMTXT02.4G5P,small SUV,5,23,29,26,5,No,344
MITSUBISHI Outlander Sport,2,4,SCV-6,4WD,FA,T3B70,Federal Tier 3 Bin 70,KMTXT02.4G5P,small SUV,5,23,29,26,5,No,344
MITSUBISHI Outlander Sport,2.4,4,SCV-6,2WD,CA,L3ULEV70,California LEV-III ULEV70,KMTXT02.4G5P,small SUV,5,23,29,25,5,No,354
MITSUBISHI Outlander Sport,2.4,4,SCV-6,2WD,FA,T3B70,Federal Tier 3 Bin 70,KMTXT02.4G5P,small SUV,5,23,29,25,5,No,354
MITSUBISHI Outlander Sport,2.4,4,SCV-6,4WD,CA,L3ULEV70,California LEV-III ULEV70,KMTXT02.4G5P,small SUV,5,23,28,25,5,No,353
MITSUBISHI Outlander Sport,2.4,4,SCV-6,4WD,FA,T3B70,Federal Tier 3 Bin 70,KMTXT02.4G5P,small SUV,5,23,28,25,5,No,353
NISSAN 370Z,3.7,6,Man-6,2WD,CA,L3ULEV125,California LEV-III ULEV125,KNSXV03.7NAA,small car,3,17,26,20,4,No,445
NISSAN 370Z,3.7,6,Man-6,2WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXV03.7NAA,small car,3,17,26,20,4,No,445
NISSAN 370Z,3.7,6,SemiAuto-7,2WD,CA,L3ULEV125,California LEV-III ULEV125,KNSXV03.7NAA,small car,3,19,26,22,4,No,409
NISSAN 370Z,3.7,6,SemiAuto-7,2WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXV03.7NAA,small car,3,19,26,22,4,No,409
NISSAN 370Z Roadster,3.7,6,SemiAuto-7,2WD,CA,L3ULEV125,California LEV-III ULEV125,KNSXV03.7NAA,small car,3,18,25,21,4,No,429
NISSAN 370Z Roadster,3.7,6,SemiAuto-7,2WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXV03.7NAA,small car,3,18,25,21,4,No,429
NISSAN Altima,2.5,4,CVT,2WD,CA,L3SULEV30,California LEV-III SULEV30,KNSXV02.5RPA,midsize car,7,28,39,32,7,Yes,278
NISSAN Altima,2.5,4,CVT,2WD,FA,T3B30,Federal Tier 3 Bin 30,KNSXV02.5RPA,midsize car,7,28,39,32,7,Yes,278
NISSAN Altima,2.5,4,CVT,4WD,CA,L3SULEV30,California LEV-III SULEV30,KNSXV02.5RPA,midsize car,7,26,36,30,7,Yes,300
NISSAN Altima,2.5,4,CVT,4WD,FA,T3B30,Federal Tier 3 Bin 30,KNSXV02.5RPA,midsize car,7,26,36,30,7,Yes,300
NISSAN Altima SR/Platinum,2,4,CVT,2WD,CA,L3ULEV70,California LEV-III ULEV70,KNSXV02.0PVA,midsize car,5,25,34,29,6,No,311
NISSAN Altima SR/Platinum,2,4,CVT,2WD,FA,T3B70,Federal Tier 3 Bin 70,KNSXV02.0PVA,midsize car,5,25,34,29,6,No,311
NISSAN Altima SR/Platinum,2.5,4,CVT,2WD,CA,L3SULEV30,California LEV-III SULEV30,KNSXV02.5RPA,midsize car,7,27,37,31,7,Yes,288
NISSAN Altima SR/Platinum,2.5,4,CVT,2WD,FA,T3B30,Federal Tier 3 Bin 30,KNSXV02.5RPA,midsize car,7,27,37,31,7,Yes,288
NISSAN Altima SR/Platinum,2.5,4,CVT,4WD,CA,L3SULEV30,California LEV-III SULEV30,KNSXV02.5RPA,midsize car,7,25,35,29,6,No,307
NISSAN Altima SR/Platinum,2.5,4,CVT,4WD,FA,T3B30,Federal Tier 3 Bin 30,KNSXV02.5RPA,midsize car,7,25,35,29,6,No,307
NISSAN Armada,5.6,8,SemiAuto-7,2WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXT05.6N9C,standard SUV,3,14,19,16,2,No,556
NISSAN Armada,5.6,8,SemiAuto-7,2WD,CA,U2,California LEV-II ULEV,KNSXT05.6N9C,standard SUV,3,14,19,16,2,No,556
NISSAN Armada,5.6,8,SemiAuto-7,4WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXT05.6N9C,standard SUV,3,13,18,15,2,No,585
NISSAN Armada,5.6,8,SemiAuto-7,4WD,CA,U2,California LEV-II ULEV,KNSXT05.6N9C,standard SUV,3,13,18,15,2,No,585
NISSAN Frontier,2.5,4,Auto-5,2WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXT02.5N5A,pickup,3,17,22,19,3,No,466
NISSAN Frontier,2.5,4,Auto-5,2WD,CA,U2,California LEV-II ULEV,KNSXT02.5N5A,pickup,3,17,22,19,3,No,466
NISSAN Frontier,2.5,4,Man-5,2WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXT02.5N5A,pickup,3,19,23,21,4,No,425
NISSAN Frontier,2.5,4,Man-5,2WD,CA,U2,California LEV-II ULEV,KNSXT02.5N5A,pickup,3,19,23,21,4,No,425
NISSAN Frontier,4,6,Auto-5,2WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXT04.0N6A,pickup,3,16,23,19,3,No,478
NISSAN Frontier,4,6,Auto-5,2WD,CA,U2,California LEV-II ULEV,KNSXT04.0N6A,pickup,3,16,23,19,3,No,478
NISSAN Frontier,4,6,Auto-5,4WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXT04.0N6A,pickup,3,15,21,17,3,No,519
NISSAN Frontier,4,6,Auto-5,4WD,CA,U2,California LEV-II ULEV,KNSXT04.0N6A,pickup,3,15,21,17,3,No,519
NISSAN Frontier,4,6,Man-6,2WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXT04.0N6A,pickup,3,16,22,19,3,No,479
NISSAN Frontier,4,6,Man-6,2WD,CA,U2,California LEV-II ULEV,KNSXT04.0N6A,pickup,3,16,22,19,3,No,479
NISSAN Frontier,4,6,Man-6,4WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXT04.0N6A,pickup,3,16,21,18,3,No,507
NISSAN Frontier,4,6,Man-6,4WD,CA,U2,California LEV-II ULEV,KNSXT04.0N6A,pickup,3,16,21,18,3,No,507
NISSAN GT-R,3.8,6,AutoMan-6,4WD,CA,L3ULEV125,California LEV-III ULEV125,KNSXV03.8NBA,small car,3,16,22,18,3,No,493
NISSAN GT-R,3.8,6,AutoMan-6,4WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXV03.8NBA,small car,3,16,22,18,3,No,493
NISSAN Kicks,1.6,4,CVT,2WD,CA,L3SULEV30,California LEV-III SULEV30,KNSXV01.6RNA,midsize car,7,31,36,33,8,Yes,271
NISSAN Kicks,1.6,4,CVT,2WD,FA,T3B30,Federal Tier 3 Bin 30,KNSXV01.6RNA,midsize car,7,31,36,33,8,Yes,271
NISSAN Maxima,3.5,6,SCV-7,2WD,CA,L3ULEV125,California LEV-III ULEV125,KNSXV03.5N7B,midsize car,3,20,30,24,5,No,378
NISSAN Maxima,3.5,6,SCV-7,2WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXV03.5N7B,midsize car,3,20,30,24,5,No,378
NISSAN Murano,3.5,6,SCV-7,2WD,CA,L3ULEV70,California LEV-III ULEV70,KNSXV03.5P7C,station wagon,5,20,28,23,5,No,385
NISSAN Murano,3.5,6,SCV-7,2WD,FA,T3B70,Federal Tier 3 Bin 70,KNSXV03.5P7C,station wagon,5,20,28,23,5,No,385
NISSAN Murano,3.5,6,SCV-7,4WD,CA,L3ULEV70,California LEV-III ULEV70,KNSXV03.5P7C,station wagon,5,20,28,23,5,No,388
NISSAN Murano,3.5,6,SCV-7,4WD,FA,T3B70,Federal Tier 3 Bin 70,KNSXV03.5P7C,station wagon,5,20,28,23,5,No,388
NISSAN NV200,2,4,CVT,2WD,FA,T3B125,Federal Tier 3 Bin 125,KNSXT02.0N2A,special purpose,3,24,26,25,5,No,356
