Model,Displ,Cyl,Trans,Drive,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
ACURA ILX,2.4,4,AMS-8,2WD,CA,L3ULEV125,California LEV-III ULEV125,KHNXV02.4KH3,small car,3,24,34,28,6,No,316
ACURA ILX,2.4,4,AMS-8,2WD,FA,T3B125,Federal Tier 3 Bin 125,KHNXV02.4KH3,small car,3,24,34,28,6,No,316
ACURA MDX,3,6,AMS-7,4WD,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.0AH3,small SUV,3,26,27,27,6,No,330
ACURA MDX,3,6,AMS-7,4WD,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.0AH3,small SUV,3,26,27,27,6,No,330
ACURA MDX,3.5,6,SemiAuto-9,2WD,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5PH3,small SUV,3,20,27,23,5,No,387
ACURA MDX,3.5,6,SemiAuto-9,2WD,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5PH3,small SUV,3,20,27,23,5,No,387
ACURA MDX,3.5,6,SemiAuto-9,4WD,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5PH3,small SUV,3,19,26,22,4,No,404
ACURA MDX,3.5,6,SemiAuto-9,4WD,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5PH3,small SUV,3,19,26,22,4,No,404
ACURA MDX A-spec,3.5,6,SemiAuto-9,4WD,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5PH3,small SUV,3,19,25,21,4,No,415
ACURA MDX A-spec,3.5,6,SemiAuto-9,4WD,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5PH3,small SUV,3,19,25,21,4,No,415
ACURA NSX,3.5,6,AMS-9,4WD,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5EH4,small car,3,21,22,21,4,No,420
ACURA NSX,3.5,6,AMS-9,4WD,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5EH4,small car,3,21,22,21,4,No,420
ACURA RDX,2,4,SemiAuto-10,2WD,CA,L3ULEV50,California LEV-III ULEV50,KHNXT02.0823,small SUV,6,22,28,24,5,No,370
ACURA RDX,2,4,SemiAuto-10,2WD,FA,T3B50,Federal Tier 3 Bin 50,KHNXT02.0823,small SUV,6,22,28,24,5,No,370
ACURA RDX,2,4,SemiAuto-10,4WD,CA,L3ULEV50,California LEV-III ULEV50,KHNXT02.0823,small SUV,6,21,27,23,5,No,385
ACURA RDX,2,4,SemiAuto-10,4WD,FA,T3B50,Federal Tier 3 Bin 50,KHNXT02.0823,small SUV,6,21,27,23,5,No,385
ACURA RDX A-SPEC,2,4,SemiAuto-10,2WD,CA,L3ULEV50,California LEV-III ULEV50,KHNXT02.0923,small SUV,6,22,27,24,5,No,374
ACURA RDX A-SPEC,2,4,SemiAuto-10,2WD,FA,T3B50,Federal Tier 3 Bin 50,KHNXT02.0923,small SUV,6,22,27,24,5,No,374
ACURA RDX A-SPEC,2,4,SemiAuto-10,4WD,CA,L3ULEV50,California LEV-III ULEV50,KHNXT02.0923,small SUV,6,21,26,23,5,No,385
ACURA RDX A-SPEC,2,4,SemiAuto-10,4WD,FA,T3B50,Federal Tier 3 Bin 50,KHNXT02.0923,small SUV,6,21,26,23,5,No,385
ACURA RLX,3.5,6,AMS-7,4WD,CA,L3SULEV30,California LEV-III SULEV30,KHNXV03.5FL3,midsize car,7,28,29,28,6,No,316
ACURA RLX,3.5,6,AMS-7,4WD,FA,T3B30,Federal Tier 3 Bin 30,KHNXV03.5FL3,midsize car,7,28,29,28,6,No,316
ACURA RLX,3.5,6,SemiAuto-10,2WD,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5MH4,midsize car,3,20,29,23,5,No,383
ACURA RLX,3.5,6,SemiAuto-10,2WD,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5MH4,midsize car,3,20,29,23,5,No,383
ACURA TLX,2.4,4,AMS-8,2WD,CA,L3ULEV125,California LEV-III ULEV125,KHNXV02.4VH3,small car,3,23,33,27,6,No,330
ACURA TLX,2.4,4,AMS-8,2WD,FA,T3B125,Federal Tier 3 Bin 125,KHNXV02.4VH3,small car,3,23,33,27,6,No,330
ACURA TLX,3.5,6,SemiAuto-9,2WD,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5HH3,small car,3,20,31,24,5,No,376
ACURA TLX,3.5,6,SemiAuto-9,2WD,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5HH3,small car,3,20,31,24,5,No,376
ACURA TLX,3.5,6,SemiAuto-9,4WD,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5HH3,small car,3,20,29,23,5,No,379
ACURA TLX,3.5,6,SemiAuto-9,4WD,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5HH3,small car,3,20,29,23,5,No,379
ACURA TLX AWD A-SPEC,3.5,6,SemiAuto-9,4WD,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5HH3,small car,3,20,29,23,5,No,387
ACURA TLX AWD A-SPEC,3.5,6,SemiAuto-9,4WD,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5HH3,small car,3,20,29,23,5,No,387
ACURA TLX FWD A-SPEC,2.4,4,AMS-8,2WD,CA,L3ULEV125,California LEV-III ULEV125,KHNXV02.4VH3,small car,3,23,32,26,5,No,336
ACURA TLX FWD A-SPEC,2.4,4,AMS-8,2WD,FA,T3B125,Federal Tier 3 Bin 125,KHNXV02.4VH3,small car,3,23,32,26,5,No,336
ACURA TLX FWD A-SPEC,3.5,6,SemiAuto-9,2WD,CA,L3ULEV125,California LEV-III ULEV125,KHNXV03.5HH3,small car,3,20,30,23,5,No,381
ACURA TLX FWD A-SPEC,3.5,6,SemiAuto-9,2WD,FA,T3B125,Federal Tier 3 Bin 125,KHNXV03.5HH3,small car,3,20,30,23,5,No,381
ALFA ROMEO 4C,1.8,4,AutoMan-6,2WD,CA,L2,California LEV-II LEV,KCRXV01.85P0,small car,1,24,34,28,6,No,317
ALFA ROMEO 4C,1.8,4,AutoMan-6,2WD,FA,T3B160,Federal Tier 3 Bin 160,KCRXV01.85P0,small car,1,24,34,28,6,No,317
ALFA ROMEO Giulia,2,4,Auto-8,2WD,FA,T3B110,Federal Tier 3 Transitional Bin 110,KCRXJ02.05P2,midsize car,3,24,33,27,6,No,330
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,CA,L2ULEV125,California LEV-II ULEV125,KCRXJ02.95P0,midsize car,3,17,24,20,4,No,451
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,CA,L3ULEV125,California LEV-III ULEV125,KCRXJ02.95P0,midsize car,3,17,24,20,4,No,451
ALFA ROMEO Giulia,2.9,6,Auto-8,2WD,FA,T3B125,Federal Tier 3 Bin 125,KCRXJ02.95P0,midsize car,3,17,24,20,4,No,451
ALFA ROMEO Giulia AWD,2,4,Auto-8,4WD,FA,T3B110,Federal Tier 3 Transitional Bin 110,KCRXJ02.05P2,midsize car,3,23,31,26,5,No,348
ALFA ROMEO Stelvio,2,4,Auto-8,2WD,FA,T3B110,Federal Tier 3 Transitional Bin 110,KCRXJ02.05P2,small SUV,3,22,29,25,5,No,359
ALFA ROMEO Stelvio AWD,2,4,Auto-8,4WD,FA,T3B110,Federal Tier 3 Transitional Bin 110,KCRXJ02.05P2,small SUV,3,22,28,24,5,No,364
ALFA ROMEO Stelvio AWD,2.9,6,Auto-8,4WD,CA,L2ULEV125,California LEV-II ULEV125,KCRXJ02.95P0,small SUV,3,17,23,19,3,No,470
